car_id,detection_time,sensor,cubic_capacity,sighting_id
TILX0000641638,2024-01-07 08:51:51.186000+00:00,"Phelan, BC",6351.0,1208389
CRDX0000015034,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6300.0,1210155
TILX0000639379,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6351.0,1210155
TILX0000639403,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6351.0,1210155
TILX0000638251,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6351.0,1210155
TILX0000636793,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6351.0,1210155
TILX0000636802,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6351.0,1210155
SHPX0000464465,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6224.0,1210155
SHPX0000464407,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6224.0,1210155
TILX0000637770,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6351.0,1210155
TILX0000639432,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6351.0,1210155
TILX0000638256,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6351.0,1210155
SHPX0000464421,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6224.0,1210155
TILX0000640520,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6351.0,1210155
TILX0000637425,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6351.0,1210155
TILX0000638235,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6351.0,1210155
TILX0000640083,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6351.0,1210155
TILX0000637522,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6351.0,1210155
TILX0000637969,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6351.0,1210155
CRDX0000015029,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6300.0,1210155
SHPX0000464489,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6224.0,1210155
TILX0000650402,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6351.0,1210155
CRDX0000015043,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6300.0,1210155
TILX0000637779,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6351.0,1210155
TILX0000650355,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6351.0,1210155
CRDX0000015106,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6300.0,1210155
TILX0000639515,2024-01-08 01:37:29.410000+00:00,"Phelan, BC",6351.0,1210155
DOWX0000068092,2024-01-09 01:13:52.024000+00:00,"Phelan, BC",6221.0,1212631
AOKX0000091216,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6250.0,1216324
NCIX0000006403,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6400.0,1216324
DOWX0000060194,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6241.0,1216324
DOWX0000060646,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6241.0,1216324
DOWX0000069290,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6224.0,1216324
CCBX0000058828,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6270.0,1216324
DOWX0000069082,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6200.0,1216324
AOKX0000091273,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6250.0,1216324
CCBX0000071663,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6221.0,1216324
CCBX0000058975,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6270.0,1216324
CCBX0000071675,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6221.0,1216324
DOWX0000062169,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6270.0,1216324
